safegraph_place_id,latitude,longitude,city,postal_code,community
sg:13f8500862b144358f3046ea86b9542c,33.918271999999995,-118.416389,El Segundo,90245,El Segundo
sg:196947c3b7f54867aa10611f15068ebd,33.823654,-118.281049,Carson,90745,Carson
sg:1a8796ce677f43838b245183a9723a71,33.987095000000004,-118.44496799999999,Marina del Rey,90292,Marina Peninsula
sg:1d859ac11dc0441bb1604521402cf09f,34.252865,-118.398379,Sun Valley,91352,Sun Valley
sg:1fc8415235684cbab23b6bf3c49bc5b9,34.130210999999996,-118.26161599999999,Glendale,91204,Glendale
sg:21174a16e6294cafb810bbe27989da44,34.131349,-118.15175,Pasadena,91105,Pasadena
sg:21cec203834c453ba009183327576ff4,34.145661,-118.25857099999999,Glendale,91210,Glendale
sg:238ddc58a25f44d2a50e8061fa459cc8,34.186073,-118.60501799999999,Canoga Park,91303,Canoga Park
sg:2422583411834718843f520163754948,33.759257,-118.13339099999999,Long Beach,90803,missing
sg:2483e10c8a15451298b8640b47d0c979,34.141593,-118.13288999999999,Pasadena,91101,Pasadena
sg:29a3ba33f80c4e07a237a7bfe7c14200,34.144397,-118.34021299999999,Los Angeles,90068,Hollywood
sg:2a0866e31c6048a39ddea279bbbfd727,33.939925,-117.93431399999999,La Habra,90631,La Habra Heights
